stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8700147,"AEROPORT CHARLES DE GAULLE  2 TGV",,49.003973,2.567778,,,1,
StopArea:DUA8727146,"AEROPORT CHARLES DE GAULLE 1",,49.010365,2.559783,,,1,
StopArea:DUA8727148,"PARC DES EXPOSITIONS",,48.9739,2.51396,,,1,
StopArea:DUA8727145,"VILLEPINTE",,48.962949,2.511969,,,1,
StopArea:DUA8727144,"SEVRAN BEAUDOTTES",,48.947243,2.52448,,,1,
StopArea:DUA8727141,"AULNAY SOUS BOIS",,48.931942,2.495024,,,1,
StopArea:DUA8727147,"LE BLANC MESNIL",,48.93248,2.477142,,,1,
StopArea:DUA8727140,"DRANCY",,48.932893,2.455185,,,1,
StopArea:DUA8727139,"LE BOURGET",,48.931143,2.426495,,,1,
StopArea:DUA8727130,"LA COURNEUVE AUBERVILLIERS",,48.923696,2.385326,,,1,
StopArea:DUA8716479,"LA PLAINE STADE DE FRANCE - Saint-Denis Aubervilliers",,48.918518,2.361988,,,1,
StopArea:DUA8775860,"CHATELET LES HALLES",,48.858319,2.348388,,,1,
StopArea:DUA8775861,"LUXEMBOURG",,48.846743,2.340384,,,1,
StopArea:DUA8775862,"PORT ROYAL",,48.840053,2.336866,,,1,
StopArea:DUA8775863,"DENFERT ROCHEREAU",,48.834181,2.332597,,,1,
StopArea:DUA8775820,"BOISSY SAINT-LEGER",,48.753531,2.505647,,,1,
StopArea:DUA8775819,"SUCY BONNEUIL",,48.771368,2.507735,,,1,
StopArea:DUA8775818,"LA VARENNE CHENNEVIERES",,48.794986,2.514099,,,1,
StopArea:DUA8775817,"CHAMPIGNY",,48.807033,2.510547,,,1,
StopArea:DUA8775816,"LE PARC DE SAINT-MAUR",,48.804776,2.48608,,,1,
StopArea:DUA8775815,"SAINT-MAUR CRETEIL",,48.806331,2.472199,,,1,
StopArea:DUA8775814,"JOINVILLE LE PONT",,48.821364,2.464381,,,1,
StopArea:DUA8775813,"NOGENT SUR MARNE",,48.835279,2.472261,,,1,
StopArea:DUA8775812,"FONTENAY SOUS BOIS",,48.843738,2.463965,,,1,
StopArea:DUA8775811,"VINCENNES",,48.848042,2.43342,,,1,
StopArea:DUA8775810,"NATION",,48.848518,2.396252,,,1,
StopArea:DUA8775859,"AUBER",,48.872192,2.330151,,,1,
StopArea:DUA8775800,"CHARLES DE GAULLE ETOILE",,48.873921,2.295169,,,1,
StopArea:DUA8775802,"NANTERRE PREFECTURE",,48.895966,2.223082,,,1,
StopArea:DUA8738631,"NANTERRE UNIVERSITE",,48.901302,2.215606,,,1,
StopArea:DUA8775804,"NANTERRE VILLE",,48.895367,2.195215,,,1,
StopArea:DUA8775805,"RUEIL MALMAISON",,48.887163,2.17238,,,1,
StopArea:DUA8775806,"CHATOU CROISSY",,48.885693,2.15549,,,1,
StopArea:DUA8775807,"LE VESINET CENTRE",,48.890002,2.134503,,,1,
StopArea:DUA8775808,"LE VESINET LE PECQ",,48.897652,2.121399,,,1,
